timestamp,temperature,humidity
2025-08-19 01:26:19,27.08,48.93
2025-08-19 01:26:21,27.37,43.41
2025-08-19 01:26:23,24.71,47.64
2025-08-19 01:26:25,23.57,42.71
2025-08-19 01:26:27,29.45,42.07
2025-08-19 01:26:29,22.41,44.45
2025-08-19 01:26:31,29.12,50.83
2025-08-19 01:26:33,22.81,47.12
2025-08-19 01:26:35,25.93,58.52
2025-08-19 01:26:37,26.63,58.62
2025-08-19 01:26:39,20.06,58.0
2025-08-19 01:26:41,23.75,46.9
2025-08-19 01:26:43,23.06,57.68
2025-08-19 01:26:45,25.8,47.49
2025-08-19 01:26:47,22.74,40.77
2025-08-19 01:26:49,24.92,58.27
2025-08-19 01:26:51,23.43,40.39
2025-08-19 01:26:53,29.93,50.93
2025-08-19 01:26:55,25.24,40.2
2025-08-19 01:26:57,25.99,46.31
2025-08-19 01:26:59,20.02,50.5
2025-08-19 01:27:01,27.82,56.1
2025-08-19 01:27:03,21.58,44.66
2025-08-19 01:27:05,29.02,44.96
2025-08-19 01:27:07,24.41,53.63
2025-08-19 01:27:09,21.71,58.16
2025-08-19 01:27:11,29.64,50.17
2025-08-19 01:27:13,24.65,56.39
2025-08-19 01:27:15,20.89,44.97
2025-08-19 01:27:17,26.83,46.45
2025-08-19 01:27:19,25.71,58.42
2025-08-19 01:27:21,21.54,50.26
2025-08-19 01:27:23,23.63,46.51
2025-08-19 01:27:25,25.08,55.43
2025-08-19 01:27:27,24.17,44.32
2025-08-19 01:27:29,27.18,56.24
2025-08-19 01:27:31,20.43,54.45
2025-08-19 01:27:33,26.41,51.68
2025-08-19 01:27:35,20.36,48.57
2025-08-19 01:27:37,20.46,42.12
2025-08-19 01:27:39,24.01,58.57
2025-08-19 01:27:41,20.63,42.94
2025-08-19 01:27:43,21.26,54.71
2025-08-19 01:27:45,23.16,44.75
2025-08-19 01:27:47,23.72,54.62
2025-08-19 01:27:49,29.55,55.74
2025-08-19 01:27:51,24.76,49.27
2025-08-19 01:27:53,25.37,55.86
2025-08-19 01:27:55,25.77,59.52
2025-08-19 01:27:57,24.69,45.84
2025-08-19 01:27:59,20.51,42.28
2025-08-19 01:28:01,22.32,51.84
2025-08-19 01:28:03,21.26,57.32
2025-08-19 01:28:05,25.22,43.75
2025-08-19 01:28:07,25.82,46.33
2025-08-19 01:28:09,28.2,42.66
2025-08-19 01:28:11,21.41,56.89
2025-08-19 01:28:13,26.4,47.33
2025-08-19 01:28:15,26.44,58.27
2025-08-19 01:28:17,23.8,43.06
2025-08-19 01:28:19,21.31,55.4
2025-08-19 01:28:21,21.07,52.06
2025-08-19 01:28:23,23.2,55.84
2025-08-19 01:28:25,20.28,57.25
2025-08-19 01:28:27,20.94,41.68
2025-08-19 01:28:29,24.67,49.99
2025-08-19 01:28:31,26.02,50.07
2025-08-19 01:28:33,23.86,54.57
2025-08-19 01:28:35,27.84,55.35
2025-08-19 01:28:37,22.34,48.74
2025-08-19 01:28:39,27.62,54.3
2025-08-19 01:28:41,29.75,47.68
2025-08-19 01:28:43,20.83,43.57
2025-08-19 01:28:45,21.47,52.11
2025-08-19 01:28:47,26.19,42.21
2025-08-19 01:28:49,23.93,40.08
2025-08-19 01:28:51,29.41,42.88
2025-08-19 01:28:53,23.81,51.97
2025-08-19 01:28:55,25.92,44.66
2025-08-19 01:28:57,23.12,58.7
2025-08-19 01:28:59,21.11,56.82
2025-08-19 01:29:01,25.24,49.76
2025-08-19 01:29:03,26.58,41.28
